自增ID,事件ID,追踪ID,发生时间,操作人ID,操作动作,资源类型,资源ID,摘要,outcome,错误码
1524,f63449d3-2c81-43ae-98dd-88f153b61912,p5-act10-audit-20260614-000500-request-export-approval-1781365488414,2026-06-13T15:44:48.450570Z,compliance-auditor,CREATE,mk_compliance_export_approval,exp-audit-event-p5-act10-60614-000500,创建敏感数据导出申请：audit_event/exp-audit-event-p5-act10-60614-000500；原因：P5幕10审计事件导出申请 p5-act10-audit-20260614-000500,SUCCESS,
1523,eeaf2d7a-6fed-4590-b344-c15b4ea00dd3,p5-act10-audit-20260614-000500-audit-snapshot-1781365488330,2026-06-13T15:44:48.368571Z,compliance-auditor,EXPORT,audit,snapshot-1781365488368,导出审计快照（reason=P5幕10审计导出审批快照 p5-act10-audit-20260614-000500）,SUCCESS,
1520,ef950ef9-9d3e-4890-bdc9-53adccc0ac2a,probe-act10-1781365216275-export-evidence-package,2026-06-13T15:40:18.327771Z,organization-admin,EXPORT,evidence_snapshot,bulk-export-COMPLIANCE_EXPORT,证据合规数据包导出完成，含 1 条快照，归档国密摘要=sm3:b171704bd2e8fdf638ab3dcaf4e34d12d7a1320b8e059467534a58d0101bff51，URI=/api/v1/compliance/evidence/snapshots/export/b171704bd2e8fdf638ab3dcaf4e34d12d7a1320b8e059467534a58d0101bff51/download,SUCCESS,
1519,61890de6-6cc7-44a3-82be-b2982a341f64,probe-act10-1781365216275-verify-export-evidence,2026-06-13T15:40:18.290802Z,organization-admin,REVIEW,evidence_snapshot,evd-exp-audit-event-p5-act10-1781365216605-export,国密签名与数字指纹验签成功，数据完好无损,SUCCESS,
1518,98c16121-1a6e-4b22-9c70-5903856d8b57,probe-act10-1781365216275-verify-approval-evidence,2026-06-13T15:40:18.255422Z,organization-admin,REVIEW,evidence_snapshot,evd-exp-audit-event-p5-act10-1781365216605-approval,国密签名与数字指纹验签成功，数据完好无损,SUCCESS,
1517,e07ce49f-ce9b-4f61-a438-fbc16cce4bcc,probe-act10-1781365216275-complete-approval,2026-06-13T15:40:18.212423Z,organization-admin,EXPORT,mk_compliance_export_approval,exp-audit-event-p5-act10-1781365216605,登记敏感数据真实导出完成：audit_event/exp-audit-event-p5-act10-1781365216605；原因：登记真实审计导出文件 probe-act10-1781365216275,SUCCESS,
1516,0c75e7de-a84a-4ec9-a4ba-5ba6a43427eb,probe-act10-1781365216275-submit-export,2026-06-13T15:40:17.145330Z,organization-admin,EXPORT,large_list_export,20377527-182c-45e8-83d3-2feae4355ded,异步导出大规模列表数据至 CSV 成功，共 253 条记录，耗时 19ms,SUCCESS,
1515,b23eaf37-86cd-4587-b3ec-d647788f2b37,probe-act10-1781365216275-admin-approve,2026-06-13T15:40:17.044021Z,organization-admin,REVIEW,mk_compliance_export_approval,exp-audit-event-p5-act10-1781365216605,审批敏感数据导出申请：audit_event/exp-audit-event-p5-act10-1781365216605；原因：组织管理员批准P5幕10探针 probe-act10-1781365216275,SUCCESS,
1514,7dcd126b-dd9a-4596-a00d-ad6b64558b13,probe-act10-1781365216275-request-approval,2026-06-13T15:40:16.708400Z,compliance-auditor,CREATE,mk_compliance_export_approval,exp-audit-event-p5-act10-1781365216605,创建敏感数据导出申请：audit_event/exp-audit-event-p5-act10-1781365216605；原因：P5幕10审计导出申请探针 probe-act10-1781365216275,SUCCESS,
1513,35c410a1-98b2-4732-a2fb-73a0459c77ce,probe-act10-1781365216275-audit-snapshot,2026-06-13T15:40:16.598471Z,compliance-auditor,EXPORT,audit,snapshot-1781365216596,导出审计快照（reason=P5幕10探针审计快照 probe-act10-1781365216275）,SUCCESS,
1506,0a4411f8-5a72-4c1e-8a34-a9bb0bdf85ca,p5-act9-main-20260613-232500-callback-dead-letter-replay-1781364050921,2026-06-13T15:20:50.975165Z,integration-operator,EXECUTE,integration_message_log,p5-act9-dead-260613232500,人工重放回调死信消息，新消息: replay-e66db8e801e944a4b1a5aa38aa125098,SUCCESS,
1505,f3740723-971c-472b-8367-abf871d883e9,p5-act9-main-20260613-232500-dead-letter-retry-1781364050877,2026-06-13T15:20:50.928365Z,integration-operator,EXECUTE,integration_message_log,p5-act9-dead-260613232500,"手动执行接口流数据重试投递成功, 状态: DEAD_LETTER",SUCCESS,
1504,751643fb-5b12-4c09-ae1b-a81707b6c1af,p5-act9-main-20260613-232500-dead-letter-enqueue-1781364050799,2026-06-13T15:20:50.843720Z,integration-operator,EXECUTE,integration_message_log,p5-act9-dead-260613232500,登记第三方出站异步消息，状态: RETRYING,SUCCESS,
1503,b637d315-2c77-43e3-b9f9-6e196b86d55a,p5-act9-main-20260613-232500-regional-source-register-1781364050692,2026-06-13T15:20:50.737946Z,integration-operator,CREATE,mk_integration_regional_source,p5-regional-lab-260613232500,登记区域协同来源: P5 区域检验中心,SUCCESS,
1502,4edfe49c-dc86-4125-b9fd-0c37f777acce,p5-act9-main-20260613-232500-regional-source-ungraded-1781364050627,2026-06-13T15:20:50.668568Z,integration-operator,CREATE,mk_integration_regional_source,p5-regional-lab-260613232500-ungraded,登记区域协同来源失败: 区域来源未完成可信分级,FAILED,REGIONAL_SOURCE_UNGRADED
1501,4f3be216-24e3-442a-be32-c9e60aa343a3,p5-act9-main-20260613-232500-advance-p5-onb-fhir-260613232500-ONLINE-1781364050524,2026-06-13T15:20:50.581561Z,integration-operator,UPDATE,mk_integration_onboarding,p5-onb-fhir-260613232500,推进第三方业务接口接入阶段到: ONLINE,SUCCESS,
1500,5b83f61d-b96a-4cfc-965c-18d0b96f8180,p5-act9-main-20260613-232500-advance-p5-onb-fhir-260613232500-MAPPING_CONFIGURED-1781364050454,2026-06-13T15:20:50.497325Z,integration-operator,UPDATE,mk_integration_onboarding,p5-onb-fhir-260613232500,推进第三方业务接口接入阶段到: MAPPING_CONFIGURED,SUCCESS,
1499,94daef35-5a27-4364-a908-c9fc5655d19e,p5-act9-main-20260613-232500-advance-p5-onb-fhir-260613232500-AUTH_CONFIGURED-1781364050386,2026-06-13T15:20:50.428567Z,integration-operator,UPDATE,mk_integration_onboarding,p5-onb-fhir-260613232500,推进第三方业务接口接入阶段到: AUTH_CONFIGURED,SUCCESS,
1498,3e9f53ac-7e60-4ad5-85b4-9568780130d9,p5-act9-main-20260613-232500-create-p5-onb-fhir-260613232500-1781364050311,2026-06-13T15:20:50.356721Z,integration-operator,CREATE,mk_integration_onboarding,p5-onb-fhir-260613232500,创建第三方业务接口接入申请: P5 FHIR 正幕接入申请 260613232500,SUCCESS,
1497,ae09b4e2-9d5a-4a61-930d-b22c2a722d04,p5-act9-main-20260613-232500-advance-p5-onb-his-260613232500-ONLINE-1781364050215,2026-06-13T15:20:50.259942Z,integration-operator,UPDATE,mk_integration_onboarding,p5-onb-his-260613232500,推进第三方业务接口接入阶段到: ONLINE,SUCCESS,
1496,3c3e5e38-2f17-494f-bd09-b8e60c6ba8ab,p5-act9-main-20260613-232500-advance-p5-onb-his-260613232500-MAPPING_CONFIGURED-1781364050141,2026-06-13T15:20:50.186996Z,integration-operator,UPDATE,mk_integration_onboarding,p5-onb-his-260613232500,推进第三方业务接口接入阶段到: MAPPING_CONFIGURED,SUCCESS,
1495,0058d165-78e9-4fc9-96dc-f233d89c8194,p5-act9-main-20260613-232500-advance-p5-onb-his-260613232500-AUTH_CONFIGURED-1781364050068,2026-06-13T15:20:50.110877Z,integration-operator,UPDATE,mk_integration_onboarding,p5-onb-his-260613232500,推进第三方业务接口接入阶段到: AUTH_CONFIGURED,SUCCESS,
1494,e664ac8b-540a-4151-a09b-2ee7dbd695d4,p5-act9-main-20260613-232500-create-p5-onb-his-260613232500-1781364049990,2026-06-13T15:20:50.037173Z,integration-operator,CREATE,mk_integration_onboarding,p5-onb-his-260613232500,创建第三方业务接口接入申请: P5 HIS 正幕接入申请 260613232500,SUCCESS,
1493,20243074-39cc-4cab-890d-a15a321cb4df,p5-act9-main-20260613-232500-webhook-signature-preview-1781364049922,2026-06-13T15:20:49.964478Z,integration-operator,EXECUTE,integration_webhook,p5-callback-260613232500,执行 Webhook 签名生成与双向连通测试,SUCCESS,
1492,dfae6b40-0d0b-4dc9-ae81-f5daf9f35460,p5-act9-main-20260613-232500-webhook-create-1781364049877,2026-06-13T15:20:49.925919Z,integration-operator,CREATE,integration_webhook,p5-callback-260613232500,新建 Webhook 订阅配置: P5 正幕回调通道 260613232500,SUCCESS,
1491,171b79de-1e70-4dd0-892d-623122275574,p5-act9-main-20260613-232500-emr-not-connected-health-1781364049776,2026-06-13T15:20:49.823268Z,integration-operator,EXECUTE,integration_adapter,p5-emr-main-260613232500,适配器健康检查完成，状态: NOT_CONNECTED,SUCCESS,
1490,f7de5596-8470-4a78-9cb8-d475f9e0e90a,p5-act9-main-20260613-232500-create-p5-emr-main-260613232500-1781364049742,2026-06-13T15:20:49.784467Z,integration-operator,CREATE,integration_adapter,p5-emr-main-260613232500,新建第三方适配器: P5 EMR 断连诚实降级网关 260613232500,SUCCESS,
1489,8c860746-5201-49d1-bb43-34f6a6f388b7,4f18c81c-f467-4d23-868c-14d5da1cb190,2026-06-13T15:20:46.972285Z,integration-operator,EXECUTE,integration_adapter,p5-his-main-260613232500,适配器健康检查完成，状态: HEALTHY,SUCCESS,
1488,3b3d9ee6-af77-42bf-8d92-ca99ed619c40,25743dff-fdca-4eef-962c-e7cd208fce7e,2026-06-13T15:20:45.889421Z,integration-operator,CREATE,integration_adapter,p5-his-main-260613232500,新建第三方适配器: P5 HIS 正幕接入网关 260613232500,SUCCESS,
1486,d9c73609-f9a9-4a54-9fd5-fea81eb4af82,p5-act9-main-20260613-232050-callback-dead-letter-replay-1781363976444,2026-06-13T15:19:36.506725Z,integration-operator,EXECUTE,integration_message_log,p5-act9-dead-260613232050,人工重放回调死信消息，新消息: replay-be4cfd47c5b94a34b5bb47a79e08de9f,SUCCESS,
1485,56e63c5e-bf2e-4b7b-9456-1236149d8eea,p5-act9-main-20260613-232050-dead-letter-retry-1781363976388,2026-06-13T15:19:36.453381Z,integration-operator,EXECUTE,integration_message_log,p5-act9-dead-260613232050,"手动执行接口流数据重试投递成功, 状态: DEAD_LETTER",SUCCESS,
1484,39375a95-5322-4b9e-a4b2-b9ffaf70ec73,p5-act9-main-20260613-232050-dead-letter-enqueue-1781363976299,2026-06-13T15:19:36.352792Z,integration-operator,EXECUTE,integration_message_log,p5-act9-dead-260613232050,登记第三方出站异步消息，状态: RETRYING,SUCCESS,
1483,82c4c3e7-735a-4cd7-9295-0f8bc6c1c890,p5-act9-main-20260613-232050-regional-source-register-1781363976177,2026-06-13T15:19:36.227211Z,integration-operator,CREATE,mk_integration_regional_source,p5-regional-lab-260613232050,登记区域协同来源: P5 区域检验中心,SUCCESS,
1482,a6f77f28-572e-46e6-8532-da7113cb49b4,p5-act9-main-20260613-232050-regional-source-ungraded-1781363976096,2026-06-13T15:19:36.143823Z,integration-operator,CREATE,mk_integration_regional_source,p5-regional-lab-260613232050-ungraded,登记区域协同来源失败: 区域来源未完成可信分级,FAILED,REGIONAL_SOURCE_UNGRADED
1481,6d158710-b13a-4368-9e84-65ba593fb759,p5-act9-main-20260613-232050-advance-p5-onb-fhir-260613232050-ONLINE-1781363976020,2026-06-13T15:19:36.070254Z,integration-operator,UPDATE,mk_integration_onboarding,p5-onb-fhir-260613232050,推进第三方业务接口接入阶段到: ONLINE,SUCCESS,
1480,7fa2a4a3-7c0e-419f-b0f1-cf1a28b6a985,p5-act9-main-20260613-232050-advance-p5-onb-fhir-260613232050-MAPPING_CONFIGURED-1781363975942,2026-06-13T15:19:35.991082Z,integration-operator,UPDATE,mk_integration_onboarding,p5-onb-fhir-260613232050,推进第三方业务接口接入阶段到: MAPPING_CONFIGURED,SUCCESS,
1479,6b008faf-92e5-4a8a-a0e4-eec627bca5f7,p5-act9-main-20260613-232050-advance-p5-onb-fhir-260613232050-AUTH_CONFIGURED-1781363975853,2026-06-13T15:19:35.909002Z,integration-operator,UPDATE,mk_integration_onboarding,p5-onb-fhir-260613232050,推进第三方业务接口接入阶段到: AUTH_CONFIGURED,SUCCESS,
1478,ba9766d9-a944-4c5c-9a40-3fd44e6b8b64,p5-act9-main-20260613-232050-create-p5-onb-fhir-260613232050-1781363975694,2026-06-13T15:19:35.756603Z,integration-operator,CREATE,mk_integration_onboarding,p5-onb-fhir-260613232050,创建第三方业务接口接入申请: P5 FHIR 正幕接入申请 260613232050,SUCCESS,
1477,25b1d7f5-0e6f-4299-b9d6-ec0d7b3792b5,p5-act9-main-20260613-232050-advance-p5-onb-his-260613232050-ONLINE-1781363975346,2026-06-13T15:19:35.568022Z,integration-operator,UPDATE,mk_integration_onboarding,p5-onb-his-260613232050,推进第三方业务接口接入阶段到: ONLINE,SUCCESS,
1476,634345e3-07d1-4b0f-afe9-00ed3d805546,p5-act9-main-20260613-232050-advance-p5-onb-his-260613232050-MAPPING_CONFIGURED-1781363975265,2026-06-13T15:19:35.315732Z,integration-operator,UPDATE,mk_integration_onboarding,p5-onb-his-260613232050,推进第三方业务接口接入阶段到: MAPPING_CONFIGURED,SUCCESS,
1475,38e52b0b-98a0-49ae-ba55-1bf147c1407e,p5-act9-main-20260613-232050-advance-p5-onb-his-260613232050-AUTH_CONFIGURED-1781363975160,2026-06-13T15:19:35.219571Z,integration-operator,UPDATE,mk_integration_onboarding,p5-onb-his-260613232050,推进第三方业务接口接入阶段到: AUTH_CONFIGURED,SUCCESS,
1474,0e03d735-6d45-4e46-910c-fb90193c5bdb,p5-act9-main-20260613-232050-create-p5-onb-his-260613232050-1781363975075,2026-06-13T15:19:35.131328Z,integration-operator,CREATE,mk_integration_onboarding,p5-onb-his-260613232050,创建第三方业务接口接入申请: P5 HIS 正幕接入申请 260613232050,SUCCESS,
1473,da258acb-4fdf-46f1-a9fa-5066ddfcdcd1,p5-act9-main-20260613-232050-webhook-signature-preview-1781363974837,2026-06-13T15:19:35.048774Z,integration-operator,EXECUTE,integration_webhook,p5-callback-260613232050,执行 Webhook 签名生成与双向连通测试,SUCCESS,
1472,cc0ff6eb-f711-4ae6-a76e-b71649f4b693,p5-act9-main-20260613-232050-webhook-create-1781363974795,2026-06-13T15:19:34.843945Z,integration-operator,CREATE,integration_webhook,p5-callback-260613232050,新建 Webhook 订阅配置: P5 正幕回调通道 260613232050,SUCCESS,
1471,1c1b0468-f9b8-44ed-9d09-34adcfae280f,p5-act9-main-20260613-232050-emr-not-connected-health-1781363974683,2026-06-13T15:19:34.734428Z,integration-operator,EXECUTE,integration_adapter,p5-emr-main-260613232050,适配器健康检查完成，状态: NOT_CONNECTED,SUCCESS,
1470,d5709780-d06b-4f93-b1d6-70a255c5dbc6,p5-act9-main-20260613-232050-create-p5-emr-main-260613232050-1781363974639,2026-06-13T15:19:34.688528Z,integration-operator,CREATE,integration_adapter,p5-emr-main-260613232050,新建第三方适配器: P5 EMR 断连诚实降级网关 260613232050,SUCCESS,
1469,65fb1815-6916-48bf-937f-a23e828d6b75,c35dc95c-d8db-49d1-a096-2c482cb3e183,2026-06-13T15:19:31.877450Z,integration-operator,EXECUTE,integration_adapter,p5-his-main-260613232050,适配器健康检查完成，状态: HEALTHY,SUCCESS,
1468,728b444b-8290-4199-9262-4146845c2653,471ac4e1-0718-45ac-a99f-ee2d507a65d5,2026-06-13T15:19:30.774548Z,integration-operator,CREATE,integration_adapter,p5-his-main-260613232050,新建第三方适配器: P5 HIS 正幕接入网关 260613232050,SUCCESS,
1466,8b62a178-427d-4ec6-9bea-3d1a34f2afec,p5-act9-main-20260613-231300-callback-dead-letter-replay-1781363931511,2026-06-13T15:18:51.563704Z,integration-operator,EXECUTE,integration_message_log,p5-act9-dead-260613231300,人工重放回调死信消息，新消息: replay-7dfc9d06b8c4416081e89b87c98ff1b2,SUCCESS,
1465,b0a24d15-d941-4573-bbfb-8d8d467e7f66,p5-act9-main-20260613-231300-regional-source-ungraded-1781363931301,2026-06-13T15:18:51.345825Z,integration-operator,CREATE,mk_integration_regional_source,p5-regional-lab-260613231300-ungraded,登记区域协同来源失败: 区域来源未完成可信分级,FAILED,REGIONAL_SOURCE_UNGRADED
1464,44afd7d6-ace7-4676-ab45-51eb7e26eb63,p5-act9-main-20260613-231300-webhook-signature-preview-1781363930671,2026-06-13T15:18:50.890768Z,integration-operator,EXECUTE,integration_webhook,p5-callback-260613231300,执行 Webhook 签名生成与双向连通测试,SUCCESS,
1463,683cf71c-ba4c-4e4d-9a69-c094afcfb5d8,p5-act9-main-20260613-231300-emr-not-connected-health-1781363930540,2026-06-13T15:18:50.593603Z,integration-operator,EXECUTE,integration_adapter,p5-emr-main-260613231300,适配器健康检查完成，状态: NOT_CONNECTED,SUCCESS,
1462,5cf0300f-fc64-4d0d-b400-b750a6f1793d,afa1ce10-a1a7-4c17-90b8-774e809e91fe,2026-06-13T15:18:47.748746Z,integration-operator,EXECUTE,integration_adapter,p5-his-main-260613231300,适配器健康检查完成，状态: HEALTHY,SUCCESS,
1460,914bcf1b-4bed-46fa-884f-6071d702204e,p5-act9-main-20260613-231300-callback-dead-letter-replay-1781363830379,2026-06-13T15:17:10.429073Z,integration-operator,EXECUTE,integration_message_log,p5-act9-dead-260613231300,人工重放回调死信消息，新消息: replay-493a44f387cb4a5f888d3ddfa9914ec6,SUCCESS,
1459,f7751087-b1b7-4fc2-9865-412b8688f611,p5-act9-main-20260613-231300-dead-letter-retry-1781363830332,2026-06-13T15:17:10.388082Z,integration-operator,EXECUTE,integration_message_log,p5-act9-dead-260613231300,"手动执行接口流数据重试投递成功, 状态: DEAD_LETTER",SUCCESS,
1458,790a2a96-853a-48b1-829e-9ec25de3c8e8,p5-act9-main-20260613-231300-dead-letter-enqueue-1781363830206,2026-06-13T15:17:10.279076Z,integration-operator,EXECUTE,integration_message_log,p5-act9-dead-260613231300,登记第三方出站异步消息，状态: RETRYING,SUCCESS,
1457,6ee9f7c0-1534-4a43-8e04-77cf12b97d3e,p5-act9-main-20260613-231300-regional-source-register-1781363830056,2026-06-13T15:17:10.125099Z,integration-operator,CREATE,mk_integration_regional_source,p5-regional-lab-260613231300,登记区域协同来源: P5 区域检验中心,SUCCESS,
1456,88836880-0241-4df3-99bd-19ef6b78d1e7,p5-act9-main-20260613-231300-regional-source-ungraded-1781363829962,2026-06-13T15:17:10.033692Z,integration-operator,CREATE,mk_integration_regional_source,p5-regional-lab-260613231300-ungraded,登记区域协同来源失败: 区域来源未完成可信分级,FAILED,REGIONAL_SOURCE_UNGRADED
1455,840a2721-2c9f-40cc-a55d-71dbdfcc9056,p5-act9-main-20260613-231300-advance-p5-onb-fhir-260613231300-ONLINE-1781363829893,2026-06-13T15:17:09.938973Z,integration-operator,UPDATE,mk_integration_onboarding,p5-onb-fhir-260613231300,推进第三方业务接口接入阶段到: ONLINE,SUCCESS,
1454,6c21b390-72ab-4ae7-a51d-b37e499156fb,p5-act9-main-20260613-231300-advance-p5-onb-fhir-260613231300-MAPPING_CONFIGURED-1781363829817,2026-06-13T15:17:09.864092Z,integration-operator,UPDATE,mk_integration_onboarding,p5-onb-fhir-260613231300,推进第三方业务接口接入阶段到: MAPPING_CONFIGURED,SUCCESS,
1453,ad6f1b15-e553-44fb-9302-57f9b6445411,p5-act9-main-20260613-231300-advance-p5-onb-fhir-260613231300-AUTH_CONFIGURED-1781363829746,2026-06-13T15:17:09.792689Z,integration-operator,UPDATE,mk_integration_onboarding,p5-onb-fhir-260613231300,推进第三方业务接口接入阶段到: AUTH_CONFIGURED,SUCCESS,
1452,6667265e-b9da-46a4-bfab-37fb8f4a665a,p5-act9-main-20260613-231300-create-p5-onb-fhir-260613231300-1781363829676,2026-06-13T15:17:09.721726Z,integration-operator,CREATE,mk_integration_onboarding,p5-onb-fhir-260613231300,创建第三方业务接口接入申请: P5 FHIR 正幕接入申请 260613231300,SUCCESS,
1451,553486f0-9768-44fe-bbaa-0a6abdbdd780,p5-act9-main-20260613-231300-advance-p5-onb-his-260613231300-ONLINE-1781363829575,2026-06-13T15:17:09.622314Z,integration-operator,UPDATE,mk_integration_onboarding,p5-onb-his-260613231300,推进第三方业务接口接入阶段到: ONLINE,SUCCESS,
1450,872a19de-4e96-46b6-adee-eeaca0e5ded0,p5-act9-main-20260613-231300-advance-p5-onb-his-260613231300-MAPPING_CONFIGURED-1781363829496,2026-06-13T15:17:09.546793Z,integration-operator,UPDATE,mk_integration_onboarding,p5-onb-his-260613231300,推进第三方业务接口接入阶段到: MAPPING_CONFIGURED,SUCCESS,
1449,5aacdee0-a297-4aeb-a139-1a1bffc8404a,p5-act9-main-20260613-231300-advance-p5-onb-his-260613231300-AUTH_CONFIGURED-1781363829393,2026-06-13T15:17:09.460656Z,integration-operator,UPDATE,mk_integration_onboarding,p5-onb-his-260613231300,推进第三方业务接口接入阶段到: AUTH_CONFIGURED,SUCCESS,
1448,e1b8e748-c621-4890-acec-72fd5f5a2485,p5-act9-main-20260613-231300-create-p5-onb-his-260613231300-1781363829282,2026-06-13T15:17:09.354005Z,integration-operator,CREATE,mk_integration_onboarding,p5-onb-his-260613231300,创建第三方业务接口接入申请: P5 HIS 正幕接入申请 260613231300,SUCCESS,
1447,7eda64d4-0855-403f-bcde-60f0658b492c,p5-act9-main-20260613-231300-webhook-signature-preview-1781363829205,2026-06-13T15:17:09.255496Z,integration-operator,EXECUTE,integration_webhook,p5-callback-260613231300,执行 Webhook 签名生成与双向连通测试,SUCCESS,
1446,32568a8f-32f2-417f-a343-facb6d0fe807,p5-act9-main-20260613-231300-webhook-create-1781363829147,2026-06-13T15:17:09.211745Z,integration-operator,CREATE,integration_webhook,p5-callback-260613231300,新建 Webhook 订阅配置: P5 正幕回调通道 260613231300,SUCCESS,
1445,501cedc6-0565-4eb4-b094-53b775e349e6,p5-act9-main-20260613-231300-emr-not-connected-health-1781363828617,2026-06-13T15:17:08.667073Z,integration-operator,EXECUTE,integration_adapter,p5-emr-main-260613231300,适配器健康检查完成，状态: NOT_CONNECTED,SUCCESS,
1444,5d3b2da3-5649-4a7c-a467-91fbf9d4f9ab,p5-act9-main-20260613-231300-create-p5-emr-main-260613231300-1781363828571,2026-06-13T15:17:08.617766Z,integration-operator,CREATE,integration_adapter,p5-emr-main-260613231300,新建第三方适配器: P5 EMR 断连诚实降级网关 260613231300,SUCCESS,
1443,9c14e1a6-4271-4a11-823b-a313b1f87c4e,32584bec-42de-4fd2-a8c5-ea4735bcbb44,2026-06-13T15:17:05.770708Z,integration-operator,EXECUTE,integration_adapter,p5-his-main-260613231300,适配器健康检查完成，状态: HEALTHY,SUCCESS,
1442,ff0fe985-f3ca-40b5-a751-ec464db24b8d,27418073-7ba9-49ed-b1c1-aa7a5de06e9d,2026-06-13T15:17:04.178244Z,integration-operator,CREATE,integration_adapter,p5-his-main-260613231300,新建第三方适配器: P5 HIS 正幕接入网关 260613231300,SUCCESS,
1440,cdfca9fd-cc25-4923-869b-a44053b0577a,p5-act8-20260613-225241-download-v1-rollback-sync-evidence-1781362375426,2026-06-13T14:52:55.502492Z,organization-admin,EXPORT,knowledge_package,5c51acc6-a591-416e-ba30-153f9d3bd9f7,导出配置包同步证据，发布计划数: 2，同步日志数: 2，失败适配器数: 0，未连通适配器数: 0,SUCCESS,
1439,174531b5-ff30-43e1-9500-96349390ffff,p5-act8-20260613-225241-rollback-v2-to-v1-1781362375184,2026-06-13T14:52:55.303346Z,organization-admin,ROLLBACK,knowledge_package,5c51acc6-a591-416e-ba30-153f9d3bd9f7,一键回滚包版本从 2026.06.1-act8-260613225241-v2 回退到 2026.06.1-act8-260613225241-v1，原因: P5幕8配置包治理演练：全量发布后按高危确认回滚到历史基线，操作人: organization-admin,SUCCESS,
